name_en,short_description_en,date_inscribed,region_en,continent,states_name_en,category,area_hectares,transboundary,danger,short_description_en_clean
Sítio Roberto Burle Marx,"<p>Situated west of Rio de Janeiro, the site embodies a successful project developed over more than 40 years by landscape architect and artist Roberto Burle Marx (1909-1994) to create a “living work of art” and a “landscape laboratory” using native plants and drawing on Modernist ideas. Began in 1949, the garden features the key characteristics that came to define Burle Marx’s landscape gardens and influenced the development of modern gardens internationally. The garden is characterized by sinuous forms, exuberant mass planting, architectural plant arrangements, dramatic colour contrasts, use of tropical plants, and the incorporation of elements of traditional folk culture. By the end of the 1960s, the site housed the most representative collection of Brazilian plants, alongside other rare tropical species. In the site, 3,500 cultivated species of tropical and subtropical flora grow in harmony with the native vegetation of the region, notably mangrove swamp, restinga (a distinct type of coastal tropical and subtropical moist broadleaf forest) and the Atlantic Forest. Sítio Roberto Burle Marx exhibits an ecological conception of form as a process, including social collaboration which is the basis for environmental and cultural preservation. It is the first modern tropical garden to be inscribed on the World Heritage List.</p>",2021,Latin America and the Caribbean,SA,Brazil,Cultural,40.53,0,0,psituated west rio de janeiro embodies successful project developed year architect artist roberto burle marx create living work art laboratory using native plant drawing modernist idea began garden key characteristic came define burle marx garden influenced development modern garden internationally garden characterized sinuous exuberant mass planting architectural plant arrangement dramatic colour contrast use tropical plant incorporation element traditional folk culture end housed representative collection brazilian plant alongside rare tropical specie cultivated specie tropical subtropical flora grow harmony native vegetation notably mangrove swamp restinga distinct type coastal tropical subtropical moist broadleaf forest atlantic forest sítio roberto burle marx exhibit ecological conception process social collaboration basis environmental cultural preservation modern tropical garden inscribed heritage listp
Settlement and Artificial Mummification of the Chinchorro Culture in the Arica and Parinacota Region,"<p>The property consists of three components: Faldeo Norte del Morro de Arica, Colón 10, both in the city of Arica, and Desembocadura de Camarones, in a rural environment some 100km further south. Together they bear testimony to a culture of marine hunter-gatherers who resided in the arid and hostile northern coast of the Atacama Desert in northernmost Chile from approximately 5450 BCE to 890 BCE. The property presents the oldest known archaeological evidence of the artificial mummification of bodies with cemeteries that contain both artificially mummified bodies and some that were preserved due to environmental conditions. Over time, the Chinchorro perfected complex mortuary practices, whereby they systematically dismembered and reassembled bodies of deceased men, women and children of the entire social spectrum to create “artificial” mummies. These mummies possess material, sculptural, and aesthetic qualities that are presumed to reflect the fundamental role of the dead in Chinchorro society. Tools made of mineral and plant materials as well as simple instruments made of bone and shells that enabled an intensive exploitation of marine resources, have been found in the property which bears a unique testimony to the complex spirituality of the Chinchorro culture.</p>",2021,Latin America and the Caribbean,SA,Chile,Cultural,364.05,0,0,property consists component faldeo norte del morro de arica colón arica desembocadura de camarones rural environment south together bear testimony culture marine huntergatherers resided arid hostile northern coast atacama desert northernmost chile approximately bce bce property present oldest known archaeological evidence artificial mummification body cemetery artificially mummified body preserved due environmental condition time chinchorro perfected mortuary practice whereby systematically dismembered reassembled body deceased men woman child entire social spectrum create artificial mummy mummy posse material sculptural aesthetic quality presumed reflect fundamental role dead chinchorro society tool made mineral plant material simple instrument made bone shell enabled intensive exploitation marine resource found property bear unique testimony spirituality chinchorro culturep
Quanzhou: Emporium of the World in Song-Yuan China,"The serial site of Quanzhou illustrates the city’s vibrancy as a maritime emporium during the Song and Yuan periods (10th - 14th centuries AD) and its interconnection with the Chinese hinterland. Quanzhou thrived during a highly significant period for maritime trade in Asia. The site encompasses religious buildings, including the 11th century AD Qingjing Mosque, one of the earliest Islamic edifices in China, Islamic tombs, and a wide range of archaeological remains: administrative buildings, stone docks that were important for commerce and defence, sites of ceramic and iron production, elements of the city’s transportation network, ancient bridges, pagodas, and inscriptions. Known as Zayton in Arabic and western texts of the 10th to 14th centuries AD.",2021,Asia and the Pacific,AS,China,Cultural,536.08,0,0,serial quanzhou illustrates vibrancy maritime emporium song yuan ad interconnection chinese hinterland quanzhou thrived highly significant maritime trade asia encompasses religious ad qingjing mosque earliest islamic edifice china islamic tomb wide range archaeological remains administrative stone dock commerce defence ceramic iron production element transportation network ancient bridge pagoda inscription known zayton arabic western text ad
Sudanese style mosques in northern Côte d’Ivoire,"<p>The eight small adobe mosques, at Tengréla, Kouto, Sorobango, Samatiguila, M’Bengué, Kong and Kaouara are characterized by protruding timbers, vertical buttresses crowned by pottery or ostrich eggs, and tapering minarets. They present an interpretation of an architectural style thought to have originated around the 14th century in the town of Djenné, then part of the Empire of Mali, which prospered from the trade in gold and salt across the Sahara to North Africa. Particularly from the 16th century, the style spread south from the desert regions into the Sudanese savannah, becoming lower and developing stouter buttresses in response to the wetter climate. The mosques are the best conserved of 20 such edifices that remain in Côte d’Ivoire, where hundreds existed early last century. The mosques’ distinctive Sudanese style, specific to the savannah region of West Africa, developed between the 17th and 19th centuries as traders and scholars spread south from the Empire of Mali, extending the trans-Saharan mercantile routes into the forest area. They present highly important testimonies to the trans-Saharan trade that facilitated the expansion of Islam and Islamic culture and reflect a fusion of Islamic and local architectural forms in a highly distinctive style that has persisted over time. </p>",2021,Africa,AF,Côte d'Ivoire,Cultural,0.1298,0,0,eight small adobe mosque tengréla kouto sorobango samatiguila bengué kong kaouara characterized protruding timber vertical buttress crowned pottery ostrich egg tapering minaret present interpretation architectural style thought originated around djenné empire mali prospered trade gold salt across sahara north africa particularly style spread south desert sudanese savannah becoming lower developing stouter buttress response wetter climate mosque best conserved edifice côte ivoire hundred existed early last mosque distinctive sudanese style specific savannah west africa developed trader scholar spread south empire mali extending transsaharan mercantile route forest present highly testimony transsaharan trade facilitated expansion islam islamic culture reflect fusion islamic local architectural highly distinctive style persisted time p
Cordouan Lighthouse,"The Lighthouse of Cordouan rises up on a shallow rocky plateau in the Atlantic Ocean at the mouth of the Gironde estuary, in a highly exposed and hostile environment. Built in white limestone dressed blocks at the turn of the 16th and 17th centuries, it was designed by engineer Louis de Foix and remodelled by engineer Joseph Teulère in the late 18th century. A masterpiece of maritime signalling, Cordouan’s monumental tower is decorated with pilasters, columns modillions and gargoyles. It embodies the great stages of the architectural and technological history of lighthouses and was built with the ambition of continuing the tradition of famous beacons of antiquity, illustrating the art of building lighthouses in a period of renewed navigation, when beacons played an important role as territorial markers and as instruments of safety. Finally, the increase of its height, in the late 18th century, and the changes to its light chamber, attest to the progress of science and technology of the period. Its architectural forms drew inspiration from ancient models, Renaissance Mannerism and the specific architectural language of France’s engineering school <em>École des Ponts et Chaussées</em>.",2021,Europe,EU,France,Cultural,17015.0957,0,0,lighthouse cordouan rise shallow rocky plateau atlantic ocean mouth gironde estuary highly exposed hostile environment white limestone dressed block turn designed engineer louis de foix remodelled engineer joseph teule late masterpiece maritime signalling cordouan monumental tower decorated pilaster column modillion gargoyle embodies stage architectural technological history lighthouse ambition continuing tradition famous beacon antiquity illustrating art lighthouse renewed navigation beacon played role territorial marker instrument safety finally increase height late change light chamber attest progress science technology architectural drew inspiration ancient model renaissance mannerism specific architectural language france engineering school eme cole de ponts et chausse esem
"Nice, Winter Resort Town of the Riviera","<p>The Mediterranean city Nice, near the Italian border, bears witness to the evolution of the winter climatic resort due to the city’s mild climate and seaside location at the foot of the Alps. From the middle of the 18th century, Nice attracted an increasing number of aristocratic and upper-class families, mainly British, who took to spending their winters there. In 1832, Nice, then part of the Kingdom of Savoy-Piedmont-Sardinia, adopted a regulatory urban plan aiming to make it attractive to foreigners. Shortly thereafter, the Camin dei Inglesi, a modest 2-metre wide path along the sea shore, was expanded to become a prestigious promenade, known as the Promenade des Anglais after the city was ceded to France in 1860. Over the next century, an increasing number of winter residents from other countries, notably Russia, flocked to the city driving successive phases of development of new areas next to the old medieval town. The diverse cultural influences of the winter residents and the desire to make the most of the climatic conditions and scenery of the place, shaped the urban planning and eclectic architectural styles of those areas, contributing to the city’s renown as a cosmopolitan winter resort. </p>",2021,Europe,EU,France,Cultural,7192.0,0,0,mediterranean nice near italian border bear witness evolution winter climatic resort due mild climate seaside location foot alp middle nice attracted increasing number aristocratic upperclass family mainly british took spending winter nice kingdom savoypiedmontsardinia adopted regulatory urban plan aiming make attractive foreigner shortly thereafter camin dei inglesi modest wide path along sea shore expanded become prestigious promenade known promenade de anglais ceded france next increasing number winter resident country notably russia flocked driving successive phase development new next old medieval diverse cultural influence winter resident desire make climatic condition scenery place shaped urban planning eclectic architectural style contributing renown cosmopolitan winter resort p
Ivindo National Park,"<p>Situated on the equator in northern Gabon the largely pristine site encompasses an area of almost 300,000 ha crossed by a network of picturesque blackwater rivers. It features rapids and waterfalls bordered by intact rainforest, which make for a landscape of great aesthetic value. The site’s aquatic habitats harbour endemic freshwater fish species, 13 of which are threatened, and at least seven species of Podostemaceae riverweeds, with probable micro-endemic aquatic flora at each waterfall. Many fish species in the property are yet to be described and parts of the site have hardly been investigated. Critically Endangered Slender-snouted Crocodiles (Mecistops cataphractus) find shelter in Ivindo National Park which also boasts biogeographically unique Caesalpinioideae old-growth forests of high conservation value, supporting, for instance, a very high diversity of butterflies alongside threatened flagship mammals and avian fauna such as the Critically Endangered Forest Elephant (Loxodonta cyclotis), Western Lowland Gorilla (Gorilla gorilla), the Endangered Chimpanzee (Pan troglodytes) and Grey Parrot (Psittacus erithacus) as well as the Vulnerable Grey-necked Rockfowl (Picathartes oreas), Mandrill (Mandrillus sphinx), Leopard (Panthera pardus), and African Golden Cat (Caracal aurata), and three species of Pangolin (Manidae spp.).</p>",2021,Africa,AF,Gabon,Natural,298758.0,0,0,psituated equator northern gabon largely pristine encompasses almost ha crossed network picturesque blackwater river rapid waterfall bordered intact rainforest make aesthetic value aquatic habitat harbour endemic freshwater fish specie threatened least seven specie podostemaceae riverweeds probable microendemic aquatic flora waterfall fish specie property yet described hardly investigated critically endangered slendersnouted crocodile mecistops cataphractus find shelter ivindo national park also boast biogeographically unique caesalpinioideae oldgrowth forest high conservation value supporting instance high diversity butterfly alongside threatened flagship mammal avian fauna critically endangered forest elephant loxodonta cyclotis western lowland gorilla gorilla gorilla endangered chimpanzee pan troglodyte grey parrot psittacus erithacus vulnerable greynecked rockfowl picathartes oreas mandrill mandrillus sphinx leopard panthera pardus african golden cat caracal aurata specie pangolin manidae sppp
Colchic Rainforests and Wetlands,"<p>The site comprises seven component parts, within an 80km long corridor along the warm-temperate and extremely humid eastern coast of the Black Sea. They provide a series of the most typical Colchic ecosystems at altitudes ranging from sea level to more than 2,500 metres above it. The main ecosystems are ancient deciduous Colchic rainforests and wetlands, percolation bogs and other mire types of the distinct Colchic mire region. The extremely humid broad-leaved rainforests comprise a highly diverse flora and fauna, with very high densities of endemic and relict species, with significant numbers of globally threatened species and relict species, which survived the glacial cycles of the Tertiary. The site is home to approximately 1,100 species of vascular and non-vascular plants, including 44 threatened vascular plan species, and almost 500 species of vertebrates, and a high number of invertebrate species. The site also harbours 19 threatened animal species including sturgeon, notably the critically endangered Colchic Sturgeon. It is a key stopover for many globally threatened birds that migrate through the Batumi bottleneck.</p>",2021,Europe,AS,Georgia,Natural,31253.0,0,0,comprises seven component within long corridor along warmtemperate extremely humid eastern coast black sea provide series typical colchic ecosystem altitude ranging sea level metre main ecosystem ancient deciduous colchic rainforest wetland percolation bog mire type distinct colchic mire extremely humid broadleaved rainforest comprise highly diverse flora fauna high density endemic relict specie significant number globally threatened specie relict specie survived glacial cycle tertiary home approximately specie vascular nonvascular plant threatened vascular plan specie almost specie vertebrate high number invertebrate specie also harbour threatened animal specie sturgeon notably critically endangered colchic sturgeon key stopover globally threatened bird migrate batumi bottleneckp
Mathildenhöhe Darmstadt,"The Darmstadt Artists’ Colony on Mathildenhöhe, the highest elevation above the city of Darmstadt in west-central Germany, was established in 1897 by Ernst Ludwig, Grand Duke of Hesse, as a centre for emerging reform movements in architecture, arts and crafts. The buildings of the colony were created by its artist members as experimental early modernist living and working environments. The colony was expanded during successive international exhibitions in 1901, 1904, 1908 and 1914. Today, it offers a testimony to early modern architecture, urban planning and landscape design, all of which were influenced by the Arts and Crafts movement and the Vienna Secession. The serial property consists of two component parts including 23 elements, such as the Wedding Tower (1908), the Exhibition Hall (1908), the Plane Tree Grove (1833, 1904-14), the Russian Chapel of St. Maria Magdalena (1897-99), the Lily Basin, the Gottfried Schwab Memorial (1905), the Pergola and Garden (1914), the “Swan Temple” Garden Pavilion (1914), the Ernst Ludwig Fountain, and the 13 houses and artists’ studios that were built for the Darmstadt Artists’ Colony and for the international exhibitions. A Three House Group, built for the 1904 exhibition is an additional component.",2021,Europe,EU,Germany,Cultural,5.37,0,0,darmstadt artist colony mathildenho highest elevation darmstadt westcentral germany established ernst ludwig grand duke hesse centre emerging reform movement architecture art craft colony created artist member experimental early modernist living working environment colony expanded successive international exhibition today offer testimony early modern architecture urban planning design influenced art craft movement vienna secession serial property consists component element wedding tower exhibition hall plane tree grove russian chapel st maria magdalena lily basin gottfried schwab memorial pergola garden swan temple garden pavilion ernst ludwig fountain house artist studio darmstadt artist colony international exhibition house group exhibition additional component
"ShUM Sites of Speyer, Worms and Mainz","<p>Located in the former Imperial cathedral cities of Speyer, Worms and Mainz, in the Upper Rhine Valley, the serial site of Speyer, Worms and Mainz comprise the Speyer Jewry-Court, with the structures of the synagogue and women’s shul (Yiddish for synagogue), the archaeological vestiges of the yeshiva (religious school), the courtyard and the still intact underground mikveh (ritual bath), which has retained its high architectural and building quality. The property also comprises the Worms Synagogue Compound, with its in situ post-war reconstruction of the 12th century synagogue and 13th century women’s shul, the community hall (Rashi House), and the monumental 12th-century mikveh. The series also includes the Old Jewish Cemetery in Worms and the Old Jewish Cemetery in Mainz. The four component sites tangibly reflect the early emergence of distinctive Ashkenaz customs and the development and settlement pattern of the ShUM communities, particularly between the 11th and the 14th centuries. The buildings that constitute the property served as prototypes for later Jewish community and religious buildings as well as cemeteries in Europe. The acronym ShUM stands for the Hebrew initials of Speyer, Worms and Mainz.</p>",2021,Europe,EU,Germany,Cultural,5.56,0,0,plocated former imperial cathedral speyer worm mainz upper rhine valley serial speyer worm mainz comprise speyer jewrycourt structure synagogue woman shul yiddish synagogue archaeological vestige yeshiva religious school courtyard still intact underground mikveh ritual bath retained high architectural quality property also comprises worm synagogue compound situ postwar reconstruction synagogue woman shul community hall rashi house monumental mikveh series also includes old jewish cemetery worm old jewish cemetery mainz four component tangibly reflect early emergence distinctive ashkenaz custom development settlement pattern shum community particularly constitute property served prototype later jewish community religious cemetery europe acronym shum stand hebrew initial speyer worm mainzp
